"","x"
"1",0
"2",0.06
"3",0.12
"4",0.18
"5",0.24
"6",0.3
"7",0.36
"8",0.42
"9",0.48
"10",0.54
"11",0.6
"12",0.66
"13",0.72
"14",0.78
"15",0.84
"16",0.9
"17",0.96
"18",1.02
"19",1.08
"20",1.14
"21",1.2
"22",1.26
"23",1.32
"24",1.38
"25",1.44
"26",1.5
"27",1.56
"28",1.62
"29",1.68
"30",1.74
"31",1.8
"32",1.86
"33",1.92
"34",1.98
"35",2.04
"36",2.1
"37",2.16
"38",2.22
"39",2.28
"40",2.34
"41",2.4
"42",2.46
"43",2.52
"44",2.58
"45",2.64
"46",2.7
"47",2.76
"48",2.82
"49",2.88
"50",2.94
"51",3
"52",3.06
"53",3.12
"54",3.18
"55",3.24
"56",3.3
"57",3.36
"58",3.42
"59",3.48
"60",3.54
"61",3.6
"62",3.66
"63",3.72
"64",3.78
"65",3.84
"66",3.9
"67",3.96
"68",4.02
"69",4.08
"70",4.14
"71",4.2
"72",4.26
"73",4.32
"74",4.38
"75",4.44
"76",4.5
"77",4.56
"78",4.62
"79",4.68
"80",4.74
"81",4.8
"82",4.86
"83",4.92
"84",4.98
"85",5.04
"86",5.1
"87",5.16
"88",5.22
"89",5.28
"90",5.34
"91",5.4
"92",5.46
"93",5.52
"94",5.58
"95",5.64
"96",5.7
"97",5.76
"98",5.82
"99",5.88
"100",5.94
"101",6
"102",6.06
"103",6.12
"104",6.18
"105",6.24
"106",6.3
"107",6.36
"108",6.42
"109",6.48
"110",6.54
"111",6.6
"112",6.66
"113",6.72
"114",6.78
"115",6.84
"116",6.9
"117",6.96
"118",7.02
"119",7.08
"120",7.14
"121",7.2
"122",7.26
"123",7.32
"124",7.38
"125",7.44
"126",7.5
"127",7.56
"128",7.62
"129",7.68
"130",7.74
"131",7.8
"132",7.86
"133",7.92
"134",7.98
"135",8.04
"136",8.1
"137",8.16
"138",8.22
"139",8.28
"140",8.34
"141",8.4
"142",8.46
"143",8.52
"144",8.58
"145",8.64
"146",8.7
"147",8.76
"148",8.82
"149",8.88
"150",8.94
"151",9
"152",9.06
"153",9.12
"154",9.18
"155",9.24
"156",9.3
"157",9.36
"158",9.42
"159",9.48
"160",9.54
"161",9.6
"162",9.66
"163",9.72
"164",9.78
"165",9.84
"166",9.9
"167",9.96
"168",10.02
"169",10.08
"170",10.14
"171",10.2
"172",10.26
"173",10.32
"174",10.38
"175",10.44
"176",10.5
"177",10.56
"178",10.62
"179",10.68
"180",10.74
"181",10.8
"182",10.86
"183",10.92
"184",10.98
"185",11.04
"186",11.1
"187",11.16
"188",11.22
"189",11.28
"190",11.34
"191",11.4
"192",11.46
"193",11.52
"194",11.58
"195",11.64
"196",11.7
"197",11.76
"198",11.82
"199",11.88
"200",11.94
"201",12
"202",12.06
"203",12.12
"204",12.18
"205",12.24
"206",12.3
"207",12.36
"208",12.42
"209",12.48
"210",12.54
"211",12.6
"212",12.66
"213",12.72
"214",12.78
"215",12.84
"216",12.9
"217",12.96
"218",13.02
"219",13.08
"220",13.14
"221",13.2
"222",13.26
"223",13.32
"224",13.38
"225",13.44
"226",13.5
"227",13.56
"228",13.62
"229",13.68
"230",13.74
"231",13.8
"232",13.86
"233",13.92
"234",13.98
"235",14.04
"236",14.1
"237",14.16
"238",14.22
"239",14.28
"240",14.34
"241",14.4
"242",14.46
"243",14.52
"244",14.58
"245",14.64
"246",14.7
"247",14.76
"248",14.82
"249",14.88
"250",14.94
"251",15
"252",15.06
"253",15.12
"254",15.18
"255",15.24
"256",15.3
"257",15.36
"258",15.42
"259",15.48
"260",15.54
"261",15.6
"262",15.66
"263",15.72
"264",15.78
"265",15.84
"266",15.9
"267",15.96
"268",16.02
"269",16.08
"270",16.14
"271",16.2
"272",16.26
"273",16.32
"274",16.38
"275",16.44
"276",16.5
"277",16.56
"278",16.62
"279",16.68
"280",16.74
"281",16.8
"282",16.86
"283",16.92
"284",16.98
"285",17.04
"286",17.1
"287",17.16
"288",17.22
"289",17.28
"290",17.34
"291",17.4
"292",17.46
"293",17.52
"294",17.58
"295",17.64
"296",17.7
"297",17.76
"298",17.82
"299",17.88
"300",17.94
"301",18
"302",18.06
"303",18.12
"304",18.18
"305",18.24
"306",18.3
"307",18.36
"308",18.42
"309",18.48
"310",18.54
"311",18.6
"312",18.66
"313",18.72
"314",18.78
"315",18.84
"316",18.9
"317",18.96
"318",19.02
"319",19.08
"320",19.14
"321",19.2
"322",19.26
"323",19.32
"324",19.38
"325",19.44
"326",19.5
"327",19.56
"328",19.62
"329",19.68
"330",19.74
"331",19.8
"332",19.86
"333",19.92
"334",19.98
