"","x"
"1",-20
"2",-19.5
"3",-19
"4",-18.5
"5",-18
"6",-17.5
"7",-17
"8",-16.5
"9",-16
"10",-15.5
"11",-15
"12",-14.5
"13",-14
"14",-13.5
"15",-13
"16",-12.5
"17",-12
"18",-11.5
"19",-11
"20",-10.5
"21",-10
"22",-9.5
"23",-9
"24",-8.5
"25",-8
"26",-7.5
"27",-7
"28",-6.5
"29",-6
"30",-5.5
"31",-5
"32",-4.5
"33",-4
"34",-3.5
"35",-3
"36",-2.5
"37",-2
"38",-1.5
"39",-1
"40",-0.5
"41",0
"42",0.5
"43",1
"44",1.5
"45",2
"46",2.5
"47",3
"48",3.5
"49",4
"50",4.5
"51",5
"52",5.5
"53",6
"54",6.5
"55",7
"56",7.5
"57",8
"58",8.5
"59",9
"60",9.5
"61",10
"62",10.5
"63",11
"64",11.5
"65",12
"66",12.5
"67",13
"68",13.5
"69",14
"70",14.5
"71",15
"72",15.5
"73",16
"74",16.5
"75",17
"76",17.5
"77",18
"78",18.5
"79",19
"80",19.5
"81",20
"82",20.5
"83",21
"84",21.5
"85",22
"86",22.5
"87",23
"88",23.5
"89",24
"90",24.5
"91",25
"92",25.5
"93",26
"94",26.5
"95",27
"96",27.5
"97",28
"98",28.5
"99",29
"100",29.5
"101",30
"102",30.5
"103",31
"104",31.5
"105",32
"106",32.5
"107",33
"108",33.5
"109",34
"110",34.5
"111",35
"112",35.5
"113",36
"114",36.5
"115",37
"116",37.5
"117",38
"118",38.5
"119",39
"120",39.5
"121",40
"122",40.5
"123",41
"124",41.5
"125",42
"126",42.5
"127",43
"128",43.5
"129",44
"130",44.5
"131",45
"132",45.5
"133",46
"134",46.5
"135",47
"136",47.5
"137",48
"138",48.5
"139",49
"140",49.5
"141",50
