"","x"
"1","#AD6E38"
"2","#AD6E38"
"3","#AD6E38"
"4","#AD6E38"
"5","#AD6E38"
"6","#AD6E38"
"7","#AD6E38"
"8","#AD6E38"
"9","#AD6E38"
"10","#AD6F38"
"11","#AD6F38"
"12","#AD6F38"
"13","#AD6F38"
"14","#AD6F38"
"15","#AD6F38"
"16","#AD6F38"
"17","#AD6F38"
"18","#AD6F38"
"19","#AD7038"
"20","#AD7038"
"21","#AD7038"
"22","#AD7038"
"23","#AD7038"
"24","#AD7038"
"25","#AD7038"
"26","#AD7038"
"27","#AD7038"
"28","#AD7138"
"29","#AD7138"
"30","#AD7138"
"31","#AD7138"
"32","#AD7138"
"33","#AD7138"
"34","#AD7138"
"35","#AD7138"
"36","#AD7138"
"37","#AD7238"
"38","#AD7238"
"39","#AD7238"
"40","#AD7238"
"41","#AD7238"
"42","#AD7238"
"43","#AD7238"
"44","#AD7238"
"45","#AD7238"
"46","#AD7338"
"47","#AD7338"
"48","#AD7338"
"49","#AD7338"
"50","#AD7338"
"51","#AD7338"
"52","#AD7338"
"53","#AD7338"
"54","#AD7338"
"55","#AD7438"
"56","#AD7438"
"57","#AD7438"
"58","#AD7438"
"59","#AD7438"
"60","#AD7438"
"61","#AD7438"
"62","#AD7438"
"63","#AD7438"
"64","#AD7538"
"65","#AD7538"
"66","#AD7538"
"67","#AD7538"
"68","#AD7538"
"69","#AD7538"
"70","#AD7538"
"71","#AD7538"
"72","#AD7538"
"73","#AD7638"
"74","#AD7638"
"75","#AD7638"
"76","#AD7638"
"77","#AD7638"
"78","#AD7638"
"79","#AD7638"
"80","#AD7638"
"81","#AD7638"
"82","#AD7738"
"83","#AD7738"
"84","#AD7738"
"85","#AD7738"
"86","#AD7738"
"87","#AD7738"
"88","#AD7738"
"89","#AD7738"
"90","#AD7738"
"91","#AD7838"
"92","#AD7838"
"93","#AD7838"
"94","#AD7838"
"95","#AD7838"
"96","#AD7838"
"97","#AD7838"
"98","#AD7838"
"99","#AD7838"
"100","#AD7938"
"101","#AD7938"
"102","#AD7938"
"103","#AD7938"
"104","#AD7938"
"105","#AD7938"
"106","#AD7938"
"107","#AD7938"
"108","#AD7938"
"109","#AD7A38"
"110","#AD7A38"
"111","#AD7A38"
"112","#AD7A38"
"113","#AD7A38"
"114","#AD7A38"
"115","#AD7A38"
"116","#AD7A38"
"117","#AD7A38"
"118","#AD7B38"
"119","#AD7B38"
"120","#AD7B38"
"121","#AD7B38"
"122","#AD7B38"
"123","#AD7B38"
"124","#AD7B38"
"125","#AD7B38"
"126","#AD7C38"
"127","#AD7C38"
"128","#AD7C38"
"129","#AD7C38"
"130","#AD7C38"
"131","#AD7C38"
"132","#AD7C38"
"133","#AD7C38"
"134","#AD7C38"
"135","#AD7D38"
"136","#AD7D38"
"137","#AD7D38"
"138","#AD7D38"
"139","#AD7D38"
