"","x"
"1","#9488D2"
"2","#948ED2"
"3","#9495D2"
"4","#949CD3"
"5","#94A2D3"
"6","#94A9D4"
"7","#94B0D4"
"8","#94B7D5"
"9","#94BDD5"
"10","#94C4D6"
"11","#94CBD6"
"12","#94CFD6"
"13","#92CFD4"
"14","#90CED2"
"15","#8ECED1"
"16","#8CCDCF"
"17","#8ACDCD"
"18","#88CDCB"
"19","#86CCCA"
"20","#84CCC8"
"21","#82CBC6"
"22","#80CBC4"
"23","#7EC9C3"
"24","#7CC7C2"
"25","#79C5C1"
"26","#77C2C0"
"27","#75C0BF"
"28","#72BEBE"
"29","#70BCBD"
"30","#6EB9BC"
"31","#6BB7BB"
"32","#69B5BA"
"33","#67B3B9"
"34","#66AFB9"
"35","#65ACBA"
"36","#64A8BC"
"37","#64A5BD"
"38","#63A1BE"
"39","#629EBF"
"40","#619BC0"
"41","#6197C1"
"42","#6094C2"
"43","#5F90C3"
"44","#5E8DC1"
"45","#5D8DB4"
"46","#5B8DA8"
"47","#5A8D9B"
"48","#598C8E"
"49","#578C82"
"50","#568C75"
"51","#548B69"
"52","#538B5C"
"53","#528B50"
"54","#508B43"
"55","#528B3C"
"56","#558B39"
"57","#598C35"
"58","#5D8C32"
"59","#618D2F"
"60","#658E2C"
"61","#698E29"
"62","#6C8F26"
"63","#708F22"
"64","#74901F"
"65","#78901C"
"66","#7C921A"
"67","#819319"
"68","#869418"
"69","#8A9616"
"70","#8F9715"
"71","#939914"
"72","#989A13"
"73","#9C9C11"
"74","#A19D10"
"75","#A69E0F"
"76","#AAA00D"
"77","#AFA10D"
"78","#B4A30C"
"79","#B9A40B"
"80","#BEA60A"
"81","#C3A70A"
"82","#C7A909"
"83","#CCAA08"
"84","#D1AC07"
"85","#D6AD07"
"86","#DBAF06"
"87","#DEAE06"
"88","#E0AC06"
"89","#E2A906"
"90","#E4A706"
"91","#E6A406"
"92","#E8A206"
"93","#EA9F06"
"94","#EB9D06"
"95","#ED9A06"
"96","#EF9806"
"97","#F19506"
"98","#F19107"
"99","#F08C08"
"100","#F08709"
"101","#EF810B"
"102","#EE7C0C"
"103","#EE770E"
"104","#ED720F"
"105","#EC6D10"
"106","#EC6812"
"107","#EB6313"
"108","#EA5E14"
"109","#E65B14"
"110","#E25914"
"111","#DD5614"
"112","#D95313"
"113","#D55013"
"114","#D04D13"
"115","#CC4B13"
"116","#C84812"
"117","#C34512"
"118","#BF4212"
"119","#BB4011"
"120","#B63E10"
"121","#B13C10"
"122","#AC3A0F"
"123","#A7370E"
"124","#A2350D"
"125","#9D330D"
"126","#99310C"
"127","#942F0B"
"128","#8F2D0A"
"129","#8A2B0A"
"130","#902B19"
"131","#9B2C2F"
"132","#A62D45"
"133","#B12D5C"
"134","#BC2E72"
"135","#C72F88"
"136","#D2309E"
"137","#DD30B5"
"138","#E831CB"
"139","#F332E1"
"140","#FE33F8"
