"","x"
"1","#551A8B"
"2","#52228D"
"3","#502A8F"
"4","#4D3391"
"5","#4B3B94"
"6","#484496"
"7","#464C98"
"8","#44559B"
"9","#415D9D"
"10","#3F669F"
"11","#3D6EA2"
"12","#3E72A2"
"13","#3F75A3"
"14","#4179A4"
"15","#427DA4"
"16","#4380A5"
"17","#4484A6"
"18","#4688A7"
"19","#478CA7"
"20","#488FA8"
"21","#4A92A8"
"22","#4A92A6"
"23","#4A92A4"
"24","#4A92A1"
"25","#4A929F"
"26","#4A919D"
"27","#4A919B"
"28","#4A9199"
"29","#4A9196"
"30","#4A9194"
"31","#4A9092"
"32","#4A9090"
"33","#4A908D"
"34","#4A8F8B"
"35","#4B8F89"
"36","#4B8E86"
"37","#4B8E84"
"38","#4C8E82"
"39","#4C8D7F"
"40","#4C8D7D"
"41","#4C8D7A"
"42","#4C8F75"
"43","#4C9270"
"44","#4C946B"
"45","#4C9667"
"46","#4C9862"
"47","#4C9B5D"
"48","#4C9D58"
"49","#4C9F53"
"50","#4CA14E"
"51","#4DA34B"
"52","#4FA348"
"53","#52A346"
"54","#55A344"
"55","#58A342"
"56","#5AA33F"
"57","#5DA33D"
"58","#60A33B"
"59","#62A339"
"60","#65A337"
"61","#69A136"
"62","#6F9E37"
"63","#759B38"
"64","#7B9839"
"65","#81953A"
"66","#87923B"
"67","#8D8F3C"
"68","#928D3D"
"69","#988A3E"
"70","#9E873F"
"71","#A18441"
"72","#A18244"
"73","#A17F47"
"74","#A17C4A"
"75","#A17A4C"
"76","#A1774F"
"77","#A17552"
"78","#A17255"
"79","#A17058"
"80","#A16D5B"
"81","#9F695C"
"82","#9D655C"
"83","#9B605C"
"84","#995B5C"
"85","#97575C"
"86","#95525C"
"87","#924E5C"
"88","#90495C"
"89","#8E445C"
"90","#8C405C"
"91","#8C3F5F"
"92","#8D4165"
"93","#8E426A"
"94","#8F436F"
"95","#904474"
"96","#91457A"
"97","#92477F"
"98","#934884"
"99","#944989"
"100","#954A8F"
"101","#914D91"
"102","#8B4F92"
"103","#865294"
"104","#805495"
"105","#7B5797"
"106","#755998"
"107","#705C9A"
"108","#6A5E9B"
"109","#65619D"
"110","#5F639E"
"111","#5E679F"
"112","#5E6A9F"
"113","#5D6E9F"
"114","#5D719F"
"115","#5D759F"
"116","#5C789F"
"117","#5C7C9F"
"118","#5B7F9F"
"119","#5B839F"
"120","#5B87A0"
